userid,morning,noon,Name_exp_4
503,25880,20922,807
505,1971,908,3
510,2615,1929,1388
513,35,55,40
530,60,145,0
538,3033,2010,1160
553,212,217,32
554,1047,586,67
570,427,265,58
583,653,624,80
596,776,404,59
601,511,317,0
603,3508,2596,526
605,27,94,14
607,539,156,0
609,1,4,0
611,301,155,44
612,3581,2973,4
613,603,352,104
614,1453,758,48
615,605,343,0
616,462,119,0
617,16,21,0
618,5432,4117,363
619,8221,9136,4607
620,366,226,32
621,149,7,0
622,46,48,1
623,2385,2011,1706
624,224,159,32
625,611,555,45
626,1861,1553,353
627,731,415,50
628,549,860,812
629,1388,886,127
630,1076,639,70
631,3,4,0
632,849,340,214
633,24,8,0
634,115,55,82
635,1869,1569,296
637,6669,5109,239
638,79,39,6
639,2357,2055,125
640,4158,2010,211
641,2895,2182,324
643,367,371,0
644,530,365,0
645,438,301,22
646,2302,1180,433
647,1582,590,28
648,2431,912,115
649,493,202,122
650,381,310,0
651,676,487,70
652,2532,1299,71
653,5350,1608,1366
655,431,220,7
656,120,112,36
657,16,6,0
658,168,80,0
659,578,299,0
660,52,78,31
661,42,27,0
662,365,147,28
663,7,1,0
664,32,1,0
667,17,0,0
688,0,1,0
702,0,1,0
709,18,2,0
727,4106,3177,3
741,2,1,0
746,5,0,0
747,0,1,0
748,1,0,0
754,78,5,0
757,0,11,0
759,25,0,0
760,1,0,0
763,24,0,0
795,51,13,1
864,278,13,1
865,9,6,0
866,5,32,0
867,4,1,0
868,4,1,0
895,45,87,0
934,5,0,0
962,1,0,0
967,3,11,0
969,1,0,0
973,10,0,0
983,10,26,21
993,102,79,21
1001,129,87,9
1009,0,1,0
1010,0,3,0
1053,0,0,1
1063,12,3,0
1165,93,156,22
1166,125,94,64
1167,6315,18755,12398
1168,891,467,56
1169,9813,4883,136
1170,740,347,75
1171,488,476,13
1173,2273,543,1148
1174,389,295,0
1175,528,606,98
1176,6,3,0
1177,220,187,9
1178,8955,6205,7086
1179,6,3,0
1181,10765,5904,8097
1182,1048,335,0
1183,1109,362,0
1184,0,4,0
1185,4,3,1
1186,3693,3211,2566
1187,2009,1113,117
1188,289,179,32
1189,72,8,0
1190,0,1,0
1192,305,14,1
1193,964,573,52
1195,210,91,0
1196,119,55,2
1198,14180,7539,13904
1199,158,91,0
1200,449,277,88
1201,4,2,0
1202,224,64,4
1203,43565,48000,1788
1204,0,4,0
1205,0,2,0
1207,323,219,33
1209,2248,1587,238
1210,231,88,19
1211,1,3,0
1212,616,310,210
1213,56,23,2
1214,65,81,5
1215,728,529,29
1216,736,399,5
1217,304,119,16
1218,2299,1877,118
1219,1657,868,24
1220,662,285,1
1221,1,0,0
1223,7656,5667,3479
1224,2817,2638,268
1225,393,501,125
1227,43,20,0
1228,44635,33499,31622
1229,82,24,12
1232,11,22,0
1233,142,72,9
1235,412,326,249
1236,343,241,18
1237,502,393,13
1238,6,0,0
1239,2,0,0
1240,41,16,16
1241,255,91,18
1242,10,3,0
1246,21,7,0
1247,166,82,1
1248,1668,1396,613
1250,357,299,25
1252,104,31,23
1254,20,12,0
1255,14,14,0
1256,56,19,3
1257,28,17,0
1258,5,8,0
1259,44,65,0
1260,77,45,0
1261,4,2,0
1262,1100,730,116
1263,0,1,0
1264,231,169,9
1265,838,416,81
1266,706,507,118
1267,481,383,67
1268,602,381,46
1269,520,337,86
1270,1569,1120,146
1271,446,334,58
1273,1,12,0
1274,133,117,4
1275,63,9,4
1276,8,1,0
1277,29386,3532,1
1278,950,846,29
1279,35,64,0
1280,490,407,157
1281,91,82,7
1282,21,0,0
1283,83,43,0
1284,48,27,4
1285,116,41,2
1287,46,47,3
1288,1133,1168,108
1289,828,991,194
1290,905,944,516
1291,734,669,88
1292,1032,1250,398
1293,86,43,2
1294,1101,581,2
1295,354,186,33
1296,111,25,0
1297,384,1510,974
1299,74,42,0
1300,2,0,0
1301,2422,1382,400
1305,161,37,0
1309,36,29,2
1310,1427,286,46
1311,404,288,284
1312,59,29,0
1314,10,0,0
1315,15,0,0
1316,55,259,2
1317,17446,14427,13784
1318,96,55,0
1319,71,29,13
1321,1689,890,0
1322,77,234,0
1323,26366,17736,23240
1324,10,7,0
1325,186,92,10
1326,21,6,0
1327,17,10,0
1328,28,31,0
1329,54,91,0
1331,92,72,0
1334,4,8,0
1337,0,12,0
1338,0,2,0
1339,73,26,4
1342,1,2,0
1343,7,3,0
1344,16,29,0
1345,1,0,0
1346,4,0,0
