userId,jobs_num
1228,109756
1203,93353
1323,67342
503,47609
1317,45657
1167,37468
1198,35623
1277,32919
1181,24766
1178,22246
619,21964
1223,16802
1169,14832
637,12017
618,9912
1186,9470
653,8324
727,7286
603,6630
612,6558
640,6379
538,6203
623,6102
510,5932
1224,5723
641,5401
639,4537
1218,4294
1301,4204
1209,4073
1173,3964
646,3915
652,3902
626,3767
635,3734
1248,3677
648,3458
1187,3239
505,2882
1297,2868
1270,2835
1292,2680
1321,2579
1219,2549
1288,2409
629,2401
1290,2365
614,2259
628,2221
647,2200
1289,2013
1262,1946
1278,1825
630,1785
1310,1759
554,1700
1294,1684
1193,1589
1291,1491
1183,1471
1168,1414
632,1403
1182,1383
583,1357
1265,1335
1266,1331
1215,1286
596,1239
651,1233
1175,1232
625,1211
627,1196
1170,1162
1216,1140
1212,1136
613,1059
1280,1054
1268,1029
1225,1019
1235,987
1171,977
1311,976
615,948
1220,948
1269,943
1267,931
1237,908
644,895
659,877
1271,838
601,828
649,817
1200,814
645,761
570,750
643,738
607,695
650,691
1174,684
1250,681
655,658
620,624
1236,602
616,581
1207,575
1295,573
662,540
611,500
1188,500
553,461
1217,439
1177,416
624,415
1264,409
1241,364
1210,338
1192,320
1316,316
1322,311
1195,301
864,292
1202,292
1325,288
1166,283
1165,271
656,268
1274,254
634,252
1199,249
1247,249
658,248
1001,225
1233,223
530,205
993,202
1305,198
1281,180
1196,176
1331,164
660,161
1285,159
1252,158
621,156
1214,151
1318,151
1329,145
1296,136
605,135
895,132
1293,131
513,130
1283,126
638,124
1260,122
1229,118
1299,116
1319,113
1259,109
1339,103
1279,99
1287,96
622,95
1312,88
754,83
1213,81
1189,80
1284,79
1256,78
1275,76
1240,73
661,69
1309,67
795,65
1227,63
1328,59
983,57
1257,45
1344,45
866,37
617,37
1232,33
664,33
1254,32
633,32
1255,28
1246,28
1326,27
1327,27
759,25
763,24
657,22
1282,21
709,20
667,17
1324,17
1315,15
865,15
1063,15
967,14
1273,13
1258,13
1242,13
1334,12
1337,12
757,11
973,10
1314,10
1343,10
1176,9
1276,9
1179,9
663,8
1185,8
631,7
1238,6
1261,6
1201,6
609,5
867,5
868,5
934,5
746,5
1211,4
1184,4
1346,4
1204,4
1010,3
1342,3
741,3
1338,2
1239,2
1300,2
1205,2
747,1
748,1
969,1
1190,1
760,1
1009,1
1053,1
688,1
1263,1
1345,1
702,1
1221,1
962,1
