userid,short_num,long_number,middle,long
503,40710,452,6447,6899
505,1997,120,765,885
510,5065,263,604,867
513,68,12,50,62
530,140,0,65,65
538,4719,416,1068,1484
553,228,51,182,233
554,1396,24,280,304
570,406,259,85,344
583,912,257,188,445
596,927,26,286,312
601,810,10,8,18
603,6099,250,281,531
605,130,3,2,5
607,526,15,154,169
609,2,2,1,3
611,438,13,49,62
612,3885,760,1913,2673
613,420,318,321,639
614,1022,198,1039,1237
615,527,32,389,421
616,285,69,227,296
617,29,5,3,8
618,3141,715,6056,6771
619,16053,952,4959,5911
620,283,59,282,341
621,72,17,67,84
622,35,39,21,60
623,2775,410,2917,3327
624,207,136,72,208
625,317,77,817,894
626,1823,223,1721,1944
627,445,125,626,751
628,1217,383,621,1004
629,598,371,1432,1803
630,1432,67,286,353
631,6,0,1,1
632,552,417,434,851
633,19,7,6,13
634,169,26,57,83
635,1181,218,2335,2553
637,8417,489,3111,3600
638,78,8,38,46
639,2274,268,1995,2263
640,3018,937,2424,3361
641,3180,77,2144,2221
643,278,81,379,460
644,505,110,280,390
645,303,91,367,458
646,2698,187,1030,1217
647,1581,136,483,619
648,2286,259,913,1172
649,600,13,204,217
650,330,115,246,361
651,534,338,361,699
652,2454,194,1254,1448
653,6464,290,1570,1860
655,334,181,143,324
656,71,66,131,197
657,18,2,2,4
658,83,88,77,165
659,291,382,204,586
660,79,12,70,82
661,31,2,36,38
662,213,227,100,327
663,2,6,0,6
664,32,0,1,1
667,17,0,0,0
688,1,0,0,0
702,1,0,0,0
709,15,0,5,5
727,3694,527,3065,3592
741,2,1,0,1
746,4,1,0,1
747,1,0,0,0
748,1,0,0,0
754,79,4,0,4
757,11,0,0,0
759,4,20,1,21
760,1,0,0,0
763,22,2,0,2
795,33,24,8,32
864,79,190,23,213
865,4,0,11,11
866,28,0,9,9
867,0,0,5,5
868,0,0,5,5
895,32,86,14,100
934,4,0,1,1
962,0,0,1,1
967,12,0,2,2
969,1,0,0,0
973,10,0,0,0
983,17,34,6,40
993,121,54,27,81
1001,143,7,75,82
1009,1,0,0,0
1010,3,0,0,0
1053,1,0,0,0
1063,4,6,5,11
1165,199,35,37,72
1166,155,88,40,128
1167,36170,3,1295,1298
1168,553,319,542,861
1169,5368,2882,6582,9464
1170,629,113,420,533
1171,449,235,293,528
1173,2105,389,1470,1859
1174,614,57,13,70
1175,778,151,303,454
1176,4,2,3,5
1177,389,3,24,27
1178,18816,437,2993,3430
1179,3,1,5,6
1181,20240,450,4076,4526
1182,688,66,629,695
1183,792,66,613,679
1184,4,0,0,0
1185,6,0,2,2
1186,7257,396,1817,2213
1187,1763,376,1100,1476
1188,142,159,199,358
1189,62,5,13,18
1190,1,0,0,0
1192,201,49,70,119
1193,782,118,689,807
1195,198,61,42,103
1196,36,46,94,140
1198,35483,49,91,140
1199,59,34,156,190
1200,390,80,344,424
1201,2,0,4,4
1202,108,112,72,184
1203,46974,2209,44170,46379
1204,4,0,0,0
1205,2,0,0,0
1207,157,89,329,418
1209,2929,275,869,1144
1210,187,108,43,151
1211,4,0,0,0
1212,559,253,324,577
1213,42,16,23,39
1214,106,3,42,45
1215,921,74,291,365
1216,468,169,503,672
1217,323,18,98,116
1218,3463,190,641,831
1219,1873,115,561,676
1220,534,73,341,414
1221,1,0,0,0
1223,16060,39,703,742
1224,4297,150,1276,1426
1225,741,64,214,278
1227,46,1,16,17
1228,97111,3865,8780,12645
1229,52,20,46,66
1232,32,0,1,1
1233,45,59,119,178
1235,328,231,428,659
1236,437,83,82,165
1237,573,174,161,335
1238,3,0,3,3
1239,0,0,2,2
1240,23,22,28,50
1241,346,1,17,18
1242,3,7,3,10
1246,20,5,3,8
1247,138,29,82,111
1248,1240,485,1952,2437
1250,527,79,75,154
1252,112,15,31,46
1254,14,9,9,18
1255,14,11,3,14
1256,30,13,35,48
1257,16,10,19,29
1258,11,0,2,2
1259,85,17,7,24
1260,50,61,11,72
1261,5,1,0,1
1262,781,224,941,1165
1263,1,0,0,0
1264,310,49,50,99
1265,517,169,649,818
1266,674,191,466,657
1267,560,64,307,371
1268,676,33,320,353
1269,762,57,124,181
1270,2323,91,421,512
1271,519,44,275,319
1273,13,0,0,0
1274,169,19,66,85
1275,63,6,7,13
1276,8,1,0,1
1277,32912,0,7,7
1278,1163,185,477,662
1279,89,2,8,10
1280,857,42,155,197
1281,43,128,9,137
1282,20,1,0,1
1283,78,19,29,48
1284,36,34,9,43
1285,65,48,46,94
1287,36,16,44,60
1288,1921,13,475,488
1289,1713,4,296,300
1290,1963,5,397,402
1291,1155,1,335,336
1292,2397,19,264,283
1293,58,22,51,73
1294,653,97,934,1031
1295,274,133,166,299
1296,39,82,15,97
1297,2164,374,330,704
1299,116,0,0,0
1300,2,0,0,0
1301,2672,279,1253,1532
1305,175,19,4,23
1309,65,0,2,2
1310,1666,9,84,93
1311,806,35,135,170
1312,26,12,50,62
1314,10,0,0,0
1315,15,0,0,0
1316,253,46,17,63
1317,45585,6,66,72
1318,151,0,0,0
1319,69,9,35,44
1321,2340,0,239,239
1322,298,0,13,13
1323,67268,9,65,74
1324,9,6,2,8
1325,190,11,87,98
1326,25,0,2,2
1327,22,1,4,5
1328,47,1,11,12
1329,46,4,95,99
1331,164,0,0,0
1334,10,0,2,2
1337,12,0,0,0
1338,2,0,0,0
1339,92,6,5,11
1342,3,0,0,0
1343,10,0,0,0
1344,36,0,9,9
1345,0,0,1,1
1346,2,0,2,2
