userid,weekend,workday
503,240,212
505,6,114
510,52,211
513,6,6
538,98,318
553,30,21
554,3,21
570,58,201
583,54,203
596,5,21
601,10,0
603,49,201
605,0,3
607,4,11
609,0,2
611,8,5
612,166,594
613,54,264
614,39,159
615,2,30
616,7,62
617,0,5
618,146,569
619,210,742
620,8,51
621,4,13
622,8,31
623,146,264
624,41,95
625,15,62
626,52,171
627,30,95
628,91,292
629,82,289
630,11,56
632,76,341
633,1,6
634,7,19
635,57,161
637,156,333
638,5,3
639,213,55
640,121,816
641,14,63
643,17,64
644,19,91
645,13,78
646,40,147
647,30,106
648,46,213
649,6,7
650,28,87
651,80,258
652,49,145
653,69,221
655,40,141
656,6,60
657,0,2
658,15,73
659,81,301
660,7,5
661,2,0
662,80,147
663,5,1
727,30,497
741,0,1
746,0,1
754,0,4
759,0,20
763,0,2
795,1,23
864,5,185
895,21,65
983,12,22
993,14,40
1001,3,4
1063,4,2
1165,5,30
1166,18,70
1167,0,3
1168,82,237
1169,561,2321
1170,22,91
1171,47,188
1173,66,323
1174,10,47
1175,26,125
1176,0,2
1177,1,2
1178,85,352
1179,0,1
1181,99,351
1182,5,61
1183,11,55
1186,121,275
1187,90,286
1188,40,119
1189,0,5
1192,6,43
1193,16,102
1195,15,46
1196,13,33
1198,15,34
1199,3,31
1200,16,64
1202,29,83
1203,56,2153
1207,12,77
1209,62,213
1210,18,90
1212,58,195
1213,2,14
1214,0,3
1215,15,59
1216,18,151
1217,6,12
1218,39,151
1219,18,97
1220,12,61
1223,0,39
1224,27,123
1225,18,46
1227,0,1
1228,1159,2706
1229,3,17
1233,15,44
1235,78,153
1236,18,65
1237,42,132
1240,1,21
1241,0,1
1242,3,4
1246,1,4
1247,5,24
1248,126,359
1250,21,58
1252,1,14
1254,2,7
1255,5,6
1256,3,10
1257,3,7
1259,1,16
1260,5,56
1261,0,1
1262,55,169
1264,11,38
1265,21,148
1266,52,139
1267,15,49
1268,6,27
1269,12,45
1270,14,77
1271,8,36
1274,2,17
1275,1,5
1276,0,1
1278,26,159
1279,0,2
1280,9,33
1281,36,92
1282,0,1
1283,4,15
1284,5,29
1285,11,37
1287,2,14
1288,3,10
1289,1,3
1290,2,3
1291,0,1
1292,1,18
1293,4,18
1294,33,64
1295,35,98
1296,5,77
1297,28,346
1301,86,193
1305,7,12
1310,0,9
1311,8,27
1312,2,10
1316,5,41
1317,3,3
1319,4,5
1323,3,6
1324,0,6
1325,2,9
1327,0,1
1328,0,1
1329,0,4
1339,0,6
,6885,24878
